"comuna","nom_com","city","percent"
10101,"Puerto Montt","Puerto Montt - Varas",51.5
10109,"Puerto Varas","Puerto Montt - Varas",52
11101,"Coihaique","Coyhaique",58.2
12101,"Punta Arenas","Punta Arenas",53.8
13101,"Santiago","Gran Santiago",48
13102,"Cerrillos","Gran Santiago",56.7
13103,"Cerro Navia","Gran Santiago",49.4
13104,"Conchalí","Gran Santiago",50.7
13105,"El Bosque","Gran Santiago",52.6
13106,"Estación Central","Gran Santiago",52.8
13107,"Huechuraba","Gran Santiago",49.4
13108,"Independencia","Gran Santiago",46.6
13109,"La Cisterna","Gran Santiago",49.3
13110,"La Florida","Gran Santiago",52
13111,"La Granja","Gran Santiago",49.1
13112,"La Pintana","Gran Santiago",50.1
13113,"La Reina","Gran Santiago",49.6
13114,"Las Condes","Gran Santiago",47.2
13115,"Lo Barnechea","Gran Santiago",51.3
13116,"Lo Espejo","Gran Santiago",49
13117,"Lo Prado","Gran Santiago",50.9
13118,"Macul","Gran Santiago",49.5
13119,"Maipú","Gran Santiago",50.6
13120,"Ñuñoa","Gran Santiago",45.8
13121,"Pedro Aguirre Cerda","Gran Santiago",45.9
13122,"Peñalolén","Gran Santiago",49.9
13123,"Providencia","Gran Santiago",48.5
13124,"Pudahuel","Gran Santiago",50.1
13125,"Quilicura","Gran Santiago",50
13126,"Quinta Normal","Gran Santiago",48
13127,"Recoleta","Gran Santiago",50.1
13128,"Renca","Gran Santiago",51.1
13129,"San Joaquín","Gran Santiago",55
13130,"San Miguel","Gran Santiago",50.3
13131,"San Ramón","Gran Santiago",45.3
13132,"Vitacura","Gran Santiago",40
13201,"Puente Alto","Gran Santiago",46.2
13401,"San Bernardo","Gran Santiago",48.7
14101,"Valdivia","Valdivia",58.6
15101,"Arica","Arica",47.6
16101,"Chillán","Chillán",50.1
16102,"Bulnes","Chillán",56.1
16103,"Chillán Viejo","Chillán",52.8
16301,"San Carlos","Chillán",57.6
16305,"San Nicolás","Chillán",51.3
1101,"Iquique","Iquique - Alto Hospicio",48
1107,"Alto Hospicio","Iquique - Alto Hospicio",50.6
2101,"Antofagasta","Antofagasta",49.9
3101,"Copiapó","Copiapo",49.5
