"city","comuna","tasa"
"Gran Santiago",13102,70.3192239801875
"Gran Santiago",13103,80.5917502071795
"Gran Santiago",13104,74.3009394332697
"Gran Santiago",13105,87.7008239949465
"Gran Santiago",13106,74.4958354654016
"Gran Santiago",13107,62.9236674783478
"Gran Santiago",13108,117.607224674569
"Gran Santiago",13109,54.6277608686029
"Gran Santiago",13110,55.2182791065721
"Gran Santiago",13111,76.6454483001871
"Gran Santiago",13112,76.8964454010619
"Gran Santiago",13113,50.2827593450455
"Gran Santiago",13114,40.0371126848638
"Gran Santiago",13115,37.8432110195079
"Gran Santiago",13116,78.1987168902785
"Gran Santiago",13117,88.0075059218852
"Gran Santiago",13118,62.5312436999637
"Gran Santiago",13119,61.3855371352918
"Gran Santiago",13120,48.9918942022653
"Gran Santiago",13121,75.5669713409084
"Gran Santiago",13122,75.6801321454886
"Gran Santiago",13123,47.8154745666353
"Gran Santiago",13124,80.6256082741174
"Gran Santiago",13125,70.0440833650872
"Gran Santiago",13126,88.249122451605
"Gran Santiago",13127,76.841950363634
"Gran Santiago",13128,71.7721609702574
"Gran Santiago",13129,63.7758054972038
"Gran Santiago",13130,75.9942156533975
"Gran Santiago",13131,86.2989974115188
"Gran Santiago",13132,35.9980800421125
"Gran Santiago",13201,67.3290795210944
"Gran Santiago",13401,80.8556820684185
"Iquique - Alto Hospicio",1101,93.5116330940631
"Iquique - Alto Hospicio",1107,64.5715528509878
"Puerto Montt - Varas",10101,78.83984238359
"Puerto Montt - Varas",10109,76.6577253126866
"Punta Arenas",12101,92.2840738342663
"Rancagua - Machalí",6101,94.2749576852984
"Rancagua - Machalí",6108,39.7751063555319
"Talca - Maule",7101,87.0983718565049
"Talca - Maule",7105,69.0146859976298
"Temuco",9101,82.9241711459248
"Temuco",9112,93.9121734765349
"Valdivia",14101,75.2464169835992
"Valparaíso Metropolitano",5101,100.991145503207
"Valparaíso Metropolitano",5103,40.6185774144614
"Valparaíso Metropolitano",5109,83.3178962498622
"Valparaíso Metropolitano",5801,68.5212504605788
"Valparaíso Metropolitano",5804,84.7537333355312
"Antofagasta",2101,101.074955046723
"Arica",15101,63.2778853239218
"Chillán",16101,83.121464327257
"Chillán",16102,84.9840946212177
"Chillán",16103,90.559584849066
"Chillán",16301,88.085086397239
"Chillán",16305,88.9455731332729
