"comuna","nom_com","city","AVPP"
5801,"Quilpué","Valparaíso Metropolitano",3942.31949901768
5804,"Villa Alemana","Valparaíso Metropolitano",3248.09608080969
6101,"Rancagua","Rancagua - Machalí",5656.9979976854
6108,"Machalí","Rancagua - Machalí",3334.83045138109
7101,"Talca","Talca - Maule",4341.27400978799
7105,"Maule","Talca - Maule",2437.71433293393
8101,"Concepción","Gran Concepcion",4842.57780302783
8102,"Coronel","Gran Concepcion",4370.22770157309
8103,"Chiguayante","Gran Concepcion",4327.10520205785
8106,"Lota","Gran Concepcion",6631.04624139354
8107,"Penco","Gran Concepcion",4483.17439438781
8108,"San Pedro de la Paz","Gran Concepcion",4539.62209482812
8110,"Talcahuano","Gran Concepcion",4884.29224509798
8111,"Tomé","Gran Concepcion",3872.03764052527
8112,"Hualpén","Gran Concepcion",4548.5568858812
9101,"Temuco","Temuco",5129.2522883722
9112,"Padre Las Casas","Temuco",4416.15121353889
10101,"Puerto Montt","Puerto Montt - Varas",6658.62264763141
10109,"Puerto Varas","Puerto Montt - Varas",4941.15659665522
11101,"Coihaique","Coyhaique",4905.83406850524
12101,"Punta Arenas","Punta Arenas",5750.27335836646
13101,"Santiago","Gran Santiago",3536.07828727252
13102,"Cerrillos","Gran Santiago",4287.21188275177
13103,"Cerro Navia","Gran Santiago",5233.90230704904
13104,"Conchalí","Gran Santiago",4517.00452081634
13105,"El Bosque","Gran Santiago",4965.37836501095
13106,"Estación Central","Gran Santiago",6122.59169901046
13107,"Huechuraba","Gran Santiago",4628.34477423158
13108,"Independencia","Gran Santiago",6416.17196072363
13109,"La Cisterna","Gran Santiago",4121.45700873492
13110,"La Florida","Gran Santiago",3709.11037645773
13111,"La Granja","Gran Santiago",4565.46435671684
13112,"La Pintana","Gran Santiago",5700.23548968001
13113,"La Reina","Gran Santiago",2998.15448374111
13114,"Las Condes","Gran Santiago",2611.74652114709
13115,"Lo Barnechea","Gran Santiago",2670.16773976955
13116,"Lo Espejo","Gran Santiago",5966.62468513854
13117,"Lo Prado","Gran Santiago",5080.89500860585
13118,"Macul","Gran Santiago",3907.40345240638
13119,"Maipú","Gran Santiago",3328.36228358616
13120,"Ñuñoa","Gran Santiago",3111.89407978153
13121,"Pedro Aguirre Cerda","Gran Santiago",5510.77995610557
13122,"Peñalolén","Gran Santiago",4510.778103643
13123,"Providencia","Gran Santiago",4061.56477126977
13124,"Pudahuel","Gran Santiago",4711.37891887171
13125,"Quilicura","Gran Santiago",4466.87962561291
13126,"Quinta Normal","Gran Santiago",5044.34535715331
13127,"Recoleta","Gran Santiago",5347.32357152244
13128,"Renca","Gran Santiago",5571.4306435938
13129,"San Joaquín","Gran Santiago",4241.82296009372
13130,"San Miguel","Gran Santiago",4325.80894343833
13131,"San Ramón","Gran Santiago",4699.33647424055
13132,"Vitacura","Gran Santiago",3283.76861864926
13201,"Puente Alto","Gran Santiago",3780.19906673103
13401,"San Bernardo","Gran Santiago",5384.03001518175
14101,"Valdivia","Valdivia",4954.3135980979
15101,"Arica","Arica",4792.0040671499
16101,"Chillán","Chillán",5808.14005956141
16102,"Bulnes","Chillán",6300.54075507268
16103,"Chillán Viejo","Chillán",4425.68958419103
16301,"San Carlos","Chillán",5459.91647142712
16305,"San Nicolás","Chillán",2102.40418468967
1101,"Iquique","Iquique - Alto Hospicio",5128.87729223566
1107,"Alto Hospicio","Iquique - Alto Hospicio",4365.22505323445
2101,"Antofagasta","Antofagasta",5837.5349420868
3101,"Copiapó","Copiapo",4714.18794798833
4101,"La Serena","Gran Coquimbo",4961.43246011669
4102,"Coquimbo","Gran Coquimbo",4484.13158606827
5101,"Valparaíso","Valparaíso Metropolitano",5468.92547194474
5103,"Concón","Valparaíso Metropolitano",3129.72957537337
5109,"Viña del Mar","Valparaíso Metropolitano",4295.86264742635
5801,"Quilpué","Valparaíso Metropolitano",4862.02365308804
5804,"Villa Alemana","Valparaíso Metropolitano",4077.1274517465
6101,"Rancagua","Rancagua - Machalí",5500.67047973509
6108,"Machalí","Rancagua - Machalí",3924.88262910798
7101,"Talca","Talca - Maule",4315.27315229139
7105,"Maule","Talca - Maule",5005.7099352874
8101,"Concepción","Gran Concepcion",4278.79177198397
8102,"Coronel","Gran Concepcion",4949.83664382571
8103,"Chiguayante","Gran Concepcion",4567.44537466945
8106,"Lota","Gran Concepcion",7933.68467281511
8107,"Penco","Gran Concepcion",4322.28651586884
8108,"San Pedro de la Paz","Gran Concepcion",5164.56251183276
8110,"Talcahuano","Gran Concepcion",4935.05986719304
8111,"Tomé","Gran Concepcion",5001.63514995287
8112,"Hualpén","Gran Concepcion",4992.27523231951
9101,"Temuco","Temuco",4955.69361403782
9112,"Padre Las Casas","Temuco",5267.79367679328
10101,"Puerto Montt","Puerto Montt - Varas",6152.43887364335
10109,"Puerto Varas","Puerto Montt - Varas",6460.76702666961
11101,"Coihaique","Coyhaique",4474.77834943899
12101,"Punta Arenas","Punta Arenas",6225.87442056469
13101,"Santiago","Gran Santiago",4084.59556512822
13102,"Cerrillos","Gran Santiago",4682.183939083
13103,"Cerro Navia","Gran Santiago",5880.89312430424
13104,"Conchalí","Gran Santiago",5831.0291858679
13105,"El Bosque","Gran Santiago",5614.20970933608
13106,"Estación Central","Gran Santiago",5430.05253211741
13107,"Huechuraba","Gran Santiago",5842.48290474815
13108,"Independencia","Gran Santiago",6565.95481700199
13109,"La Cisterna","Gran Santiago",4232.82302655726
13110,"La Florida","Gran Santiago",3486.40842442752
13111,"La Granja","Gran Santiago",5069.64187591084
13112,"La Pintana","Gran Santiago",5788.7437820935
13113,"La Reina","Gran Santiago",3215.03312622665
13114,"Las Condes","Gran Santiago",2598.5238147351
13115,"Lo Barnechea","Gran Santiago",2522.51408228033
13116,"Lo Espejo","Gran Santiago",5111.71039571512
13117,"Lo Prado","Gran Santiago",5402.64124714527
13118,"Macul","Gran Santiago",4094.98357552475
13119,"Maipú","Gran Santiago",3455.7156809418
13120,"Ñuñoa","Gran Santiago",2914.22517761272
13121,"Pedro Aguirre Cerda","Gran Santiago",4823.64565079602
13122,"Peñalolén","Gran Santiago",4340.69271939588
13123,"Providencia","Gran Santiago",3667.81276655616
13124,"Pudahuel","Gran Santiago",4079.79241310176
13125,"Quilicura","Gran Santiago",4547.38254863604
13126,"Quinta Normal","Gran Santiago",4663.87622978074
13127,"Recoleta","Gran Santiago",5408.16468267748
13128,"Renca","Gran Santiago",4530.06598092604
13129,"San Joaquín","Gran Santiago",5059.20458769182
13130,"San Miguel","Gran Santiago",4972.30946273165
13131,"San Ramón","Gran Santiago",5892.77998737024
13132,"Vitacura","Gran Santiago",2633.15608941254
13201,"Puente Alto","Gran Santiago",4263.74275538624
13401,"San Bernardo","Gran Santiago",5754.89899724962
14101,"Valdivia","Valdivia",5214.05575724365
15101,"Arica","Arica",4452.46690734055
16101,"Chillán","Chillán",5176.05023690453
16102,"Bulnes","Chillán",4648.16650148662
16103,"Chillán Viejo","Chillán",5290.64395613225
16301,"San Carlos","Chillán",6940.80084599272
16305,"San Nicolás","Chillán",3904.38247011952
1101,"Iquique","Iquique - Alto Hospicio",6525.88866613045
1107,"Alto Hospicio","Iquique - Alto Hospicio",3463.85364065327
2101,"Antofagasta","Antofagasta",5583.6521178771
3101,"Copiapó","Copiapo",5056.67452629187
4101,"La Serena","Gran Coquimbo",5001.44149738313
4102,"Coquimbo","Gran Coquimbo",3901.3707518858
5101,"Valparaíso","Valparaíso Metropolitano",5536.73062254298
5103,"Concón","Valparaíso Metropolitano",3657.61159648285
5109,"Viña del Mar","Valparaíso Metropolitano",4535.39146910419
5801,"Quilpué","Valparaíso Metropolitano",4445.81382590987
5804,"Villa Alemana","Valparaíso Metropolitano",4060.48510899601
6101,"Rancagua","Rancagua - Machalí",6362.98230292719
6108,"Machalí","Rancagua - Machalí",3916.68378878159
7101,"Talca","Talca - Maule",5290.29933238214
7105,"Maule","Talca - Maule",3400.37977354244
8101,"Concepción","Gran Concepcion",4931.93244871097
8102,"Coronel","Gran Concepcion",4151.2555503789
8103,"Chiguayante","Gran Concepcion",3956.65536887885
8106,"Lota","Gran Concepcion",7055.24874132233
8107,"Penco","Gran Concepcion",4462.4079915878
8108,"San Pedro de la Paz","Gran Concepcion",4555.33330768935
8110,"Talcahuano","Gran Concepcion",5113.46881000282
8111,"Tomé","Gran Concepcion",5009.02007446359
8112,"Hualpén","Gran Concepcion",4612.3785989311
9101,"Temuco","Temuco",4878.02051341485
9112,"Padre Las Casas","Temuco",5219.28290004107
10101,"Puerto Montt","Puerto Montt - Varas",5863.88495037472
10109,"Puerto Varas","Puerto Montt - Varas",5320.03773076405
11101,"Coihaique","Coyhaique",5792.39079379991
12101,"Punta Arenas","Punta Arenas",5980.20829844948
13101,"Santiago","Gran Santiago",3721.88482261172
13102,"Cerrillos","Gran Santiago",4610.27570600287
13103,"Cerro Navia","Gran Santiago",5165.28630076242
13104,"Conchalí","Gran Santiago",5547.2611800017
13105,"El Bosque","Gran Santiago",5580.15890518737
13106,"Estación Central","Gran Santiago",4984.96800883932
13107,"Huechuraba","Gran Santiago",4413.32735129519
13108,"Independencia","Gran Santiago",6382.12416156802
13109,"La Cisterna","Gran Santiago",3571.63920310454
13110,"La Florida","Gran Santiago",3937.45019038342
13111,"La Granja","Gran Santiago",5798.24300537708
13112,"La Pintana","Gran Santiago",5300.15759551202
13113,"La Reina","Gran Santiago",3868.64891357621
13114,"Las Condes","Gran Santiago",2399.18755970874
13115,"Lo Barnechea","Gran Santiago",2466.84744676713
13116,"Lo Espejo","Gran Santiago",6044.94424565987
13117,"Lo Prado","Gran Santiago",5765.33782294109
13118,"Macul","Gran Santiago",3880.9592175097
13119,"Maipú","Gran Santiago",3516.62160236221
13120,"Ñuñoa","Gran Santiago",2685.1237095836
13121,"Pedro Aguirre Cerda","Gran Santiago",4848.2964553838
13122,"Peñalolén","Gran Santiago",4577.38879174026
13123,"Providencia","Gran Santiago",3291.61354115167
13124,"Pudahuel","Gran Santiago",4507.56318459861
13125,"Quilicura","Gran Santiago",3970.97150251161
13126,"Quinta Normal","Gran Santiago",4826.77019058702
13127,"Recoleta","Gran Santiago",5423.22430783996
13128,"Renca","Gran Santiago",4677.85210889708
13129,"San Joaquín","Gran Santiago",4802.64001025247
13130,"San Miguel","Gran Santiago",4275.65686975061
13131,"San Ramón","Gran Santiago",5184.10417602155
13132,"Vitacura","Gran Santiago",2590.74624201548
13201,"Puente Alto","Gran Santiago",4257.72038180797
13401,"San Bernardo","Gran Santiago",4749.57044515495
14101,"Valdivia","Valdivia",5279.29871698318
15101,"Arica","Arica",4915.21862781772
16101,"Chillán","Chillán",5564.98314900081
16102,"Bulnes","Chillán",7346.17098163457
16103,"Chillán Viejo","Chillán",4357.71719945087
16301,"San Carlos","Chillán",4955.4577000345
16305,"San Nicolás","Chillán",5472.83305393945
1101,"Iquique","Iquique - Alto Hospicio",5948.10685688641
1107,"Alto Hospicio","Iquique - Alto Hospicio",3538.13025450714
2101,"Antofagasta","Antofagasta",5392.05316143805
3101,"Copiapó","Copiapo",5429.2876248092
4101,"La Serena","Gran Coquimbo",4988.46644413688
4102,"Coquimbo","Gran Coquimbo",4031.72469986931
5101,"Valparaíso","Valparaíso Metropolitano",5651.40080108369
5103,"Concón","Valparaíso Metropolitano",2704.12254264938
5109,"Viña del Mar","Valparaíso Metropolitano",4397.95018215366
5801,"Quilpué","Valparaíso Metropolitano",3599.75912392479
5804,"Villa Alemana","Valparaíso Metropolitano",4220.54665409991
6101,"Rancagua","Rancagua - Machalí",5797.20549567902
6108,"Machalí","Rancagua - Machalí",3678.42712131664
7101,"Talca","Talca - Maule",5442.89563986739
7105,"Maule","Talca - Maule",3089.25603675824
8101,"Concepción","Gran Concepcion",4606.70243154741
8102,"Coronel","Gran Concepcion",4770.70762994173
8103,"Chiguayante","Gran Concepcion",4380.51650866296
8106,"Lota","Gran Concepcion",7263.04484023986
8107,"Penco","Gran Concepcion",4818.90797680271
8108,"San Pedro de la Paz","Gran Concepcion",4770.58249267816
8110,"Talcahuano","Gran Concepcion",5554.45635972722
8111,"Tomé","Gran Concepcion",5033.3001607594
8112,"Hualpén","Gran Concepcion",4614.76771495675
9101,"Temuco","Temuco",4592.55003351527
