"codcomuna","dato"
13122,4577.38879174026
13123,3291.61354115167
13124,4507.56318459861
13125,3970.97150251161
13126,4826.77019058702
13127,5423.22430783996
13128,4677.85210889708
13129,4802.64001025247
13130,4275.65686975061
13131,5184.10417602155
13132,2590.74624201548
13201,4257.72038180797
13401,4749.57044515495
14101,5279.29871698318
15101,4915.21862781772
16101,5564.98314900081
16102,7346.17098163457
16103,4357.71719945087
16301,4955.4577000345
16305,5472.83305393945
1101,5948.10685688641
1107,3538.13025450714
2101,5392.05316143805
3101,5429.2876248092
4101,4988.46644413688
4102,4031.72469986931
5101,5651.40080108369
5103,2704.12254264938
5109,4397.95018215366
5801,3599.75912392479
5804,4220.54665409991
6101,5797.20549567902
6108,3678.42712131664
7101,5442.89563986739
7105,3089.25603675824
8101,4606.70243154741
8102,4770.70762994173
8103,4380.51650866296
8106,7263.04484023986
8107,4818.90797680271
8108,4770.58249267816
8110,5554.45635972722
8111,5033.3001607594
8112,4614.76771495675
9101,4592.55003351527
9112,5411.2327249315
10101,5999.45395319061
10109,4052.62880345937
11101,5772.16130830701
12101,5300.80002661211
13101,3340.10969019031
13102,4510.60889898628
13103,6429.59199872996
13104,4998.90870541282
13105,5925.07301393112
13106,5847.54288226293
13107,4873.15880355549
13108,7336.20002352603
13109,4119.7356973217
13110,4023.00602024109
13111,5438.40717872993
13112,5660.23466367035
13113,3250.62659384679
13114,2299.28472882117
13115,2519.55988851703
13116,5343.19730495368
13117,5061.21622988971
13118,4047.61024655306
13119,3492.92045631258
13120,3080.00392430704
13121,5197.81004522733
13122,4166.10129430148
13123,3722.5302936948
13124,4162.93454762028
13125,3936.88255959258
13126,4599.38479566427
13127,6605.68328058154
13128,4966.29405239355
13129,5105.89852644241
13130,4175.87703725762
13131,5649.28047323815
13132,2232.39912745086
13201,3887.36919643022
13401,4916.36089123105
14101,5403.13531020488
15101,4783.23136326142
16101,4876.78431511167
16102,7788.8702184442
16103,3778.35683629675
16301,5432.64851735654
16305,6341.60641000586
1101,5210.68166500105
1107,3311.40545826296
2101,5148.14951025462
3101,4699.83084199261
4101,4140.76695036817
4102,4230.16398873613
5101,5367.30249788238
5103,4373.74122257906
5109,4437.91526159394
5801,3709.56114927986
5804,3492.4427650589
6101,5285.07367072389
6108,2846.85708872152
7101,5171.14118242999
7105,3383.20814150715
8101,5488.61059981547
8102,4463.78100877559
